first_name,last_name,institution_name,class,email,phone,Birth Date,skype,profession,about,address,zipcode,country
Ashik,Ahmed,Jahangirnagar Science Club,8,hemayet.nsl@gmail.com,1234567876,14/02/2002,n/a,Student,n/a,Dhaka,1200,Bangladesh
Rafsan ,Jany,Jahangirnagar Science Club,6,habib.austcse32@gmail.com,1234567876,14/02/2002,n/a,Student,n/a,Dhaka,1200,Bangladesh
Puspita,Saha,Jahangirnagar Science Club,9,habib.austcse33@gmail.com,1234567876,14/02/2002,n/a,Student,n/a,Dhaka,1200,Bangladesh
Shakir,Ahmed,Jahangirnagar Science Club,7,habib.austcse34@gmail.com,1234567876,14/02/2002,n/a,Student,n/a,Dhaka,1200,Bangladesh
Hemayet ,Ullah,Jahangirnagar Science Club,11,habib.austcse35@gmail.com,1234567876,14/02/2002,n/a,Student,n/a,Dhaka,1200,Bangladesh
Sadman,Talukder,Jahangirnagar Science Club,12,habib.austcse36@gmail.com,1234567876,14/02/2002,n/a,Student,n/a,Dhaka,1200,Bangladesh
Anas,Abdullah,Jahangirnagar Science Club,10,habib.austcse37@gmail.com,1234567876,14/02/2002,n/a,Student,n/a,Dhaka,1200,Bangladesh
Saleh,Ahmed,Jahangirnagar Science Club,9,habib.austcse38@gmail.com,1234567876,14/02/2002,n/a,Student,n/a,Dhaka,1200,Bangladesh
Ashik,Ahmed,Jahangirnagar Science Club,6,habib.austcse39@gmail.com,1234567876,14/02/2002,n/a,Student,n/a,Dhaka,1200,Bangladesh
Ashik,Ahmed,Jahangirnagar Science Club,6,habib.austcse40@gmail.com,1234567876,14/02/2002,n/a,Student,n/a,Dhaka,1200,Bangladesh
Mashrafee,Mutaza,Jahangirnagar Science Club,7,habib.austcse41@gmail.com,1234567876,14/02/2002,n/a,Student,n/a,Dhaka,1200,Bangladesh
Sakib ,Al-Hasan,Jahangirnagar Science Club,8,habib.austcse42@gmail.com,1234567876,14/02/2002,n/a,Student,n/a,Dhaka,1200,Bangladesh
Tamim,Iqbal,Jahangirnagar Science Club,7,habib.austcse43@gmail.com,1234567876,14/02/2002,n/a,Student,n/a,Dhaka,1200,Bangladesh
Sumaya,Sarkar,Jahangirnagar Science Club,9,habib.austcse44@gmail.com,1234567876,14/02/2002,n/a,Student,n/a,Dhaka,1200,Bangladesh
Wasif,Anwar,Jahangirnagar Science Club,8,habib.austcse45@gmail.com,1234567876,14/02/2002,n/a,Student,n/a,Dhaka,1200,Bangladesh
Nahid,Hasan,Jahangirnagar Science Club,9,habib.austcse46@gmail.com,1234567876,14/02/2002,n/a,Student,n/a,Dhaka,1200,Bangladesh
Rakibul ,Islam,Jahangirnagar Science Club,10,habib.austcse47@gmail.com,1234567876,14/02/2002,n/a,Student,n/a,Dhaka,1200,Bangladesh
Tanvir ,Khan,Jahangirnagar Science Club,11,habib.austcse48@gmail.com,1234567876,14/02/2002,n/a,Student,n/a,Dhaka,1200,Bangladesh
Pear,E-Habib,Jahangirnagar Science Club,12,habib.austcse49@gmail.com,1234567876,14/02/2002,n/a,Student,n/a,Dhaka,1200,Bangladesh
Shakib,Khan,Jahangirnagar Science Club,6,habib.austcse50@gmail.com,1234567876,14/02/2002,n/a,Student,n/a,Dhaka,1200,Bangladesh
Kamrul,Hasan ,Jahangirnagar Science Club,11,habib.austcse51@gmail.com,1234567876,14/02/2002,n/a,Student,n/a,Dhaka,1200,Bangladesh
Ridwan,Vai,Jahangirnagar Science Club,8,habib.austcse52@gmail.com,1234567876,14/02/2002,n/a,Student,n/a,Dhaka,1200,Bangladesh
Puspita,Begum,Jahangirnagar Science Club,8,habib.austcse53@gmail.com,1234567876,14/02/2002,n/a,Student,n/a,Dhaka,1200,Bangladesh
Puspita,Aktar,Jahangirnagar Science Club,6,habib.austcse54@gmail.com,1234567876,14/02/2002,n/a,Student,n/a,Dhaka,1200,Bangladesh
